D1.5t32φ４,880014
HL1.0t12φ４,991078
HL1.2t22φ４,991092
HL1.2t25.4φ４,996935
HL1.5t60.5φ４,991058
HL1.5t19φ4,991088
HL1.5t21.7φ4,991094
HL1.5t21.7φ5,991096
HL1.5t22φ4,991100
HL1.5t25φ4,991104
HL1.5t25φ5,991106
HL1.5t25.4φ4,991108
HL1.5t27.2φ4,991110
HL1.5t27.2φ5,991112
HL1.5t32φ4,991114
HL1.5t32φ5,991116
HL1.5t34φ4,991118
HL1.5t34φ5,991120
HL1.5t38φ4,991122
HL1.5t38φ5,991124
HL1.5t42.7φ4,991126
HL1.5t42.7φ5,991128
HL1.5t48.6φ4,991132
HL1.5t50φ4,991136
HL1.5t60.5φ5,991144
HL1.5t60.5φ6,991146
HL1.5t13φ4,996097
HL1.5t16φ4,996182
HL1.5t17.3φ4,996187
HL1.5t16φ5,996352
HL2.0t50φ6,991158
HL2.0t60.5φ4,991160
HL2.0t101.6φ4,991170
HL2.0t42.7φ4,991876
HL2.0t48.6φ4,996137
HL2.0t32φ4,996143
HL2.0t76.3φ4,996154
HL2.0t45φ4,996430
HL2.0t21.7φ5,996565
HL2.0t48.6φ6,999851
F0.8t７φ４,991069
F0.8t５φ４,991070
F0.8t６φ４,991071
F0.8t８φ４,991072
F0.8t１０φ４,991073
F0.8t１２φ４,991076
F0.8t９φ４,996019
F1.0t10φ４,991074
F1.0t12φ４,991077
F1.0t15φ４,991082
F1.0t16φ４,991083
F1.0t14φ４,991768
F1.0t25φ４,996085
F1.0t22φ４,996139
F1.0t13φ４,996200
F1.0t21.7φ４,996308
F1.2t13φ４,991079
F1.2t19φ４,991085
F1.2t21.7φ４,996310
F1.2t27.2φ４,996564
F1.2t25.4φ４,996893
F1.5t21.7φ４,991093
F1.5t21.7φ5,991095
F1.5t25φ4,991103
F1.5t32φ4,991113
F1.5t38φ4,991121
F1.5t38φ5,991123
F1.5t48.6φ5,991133
F1.5t60.5φ5,991141
F1.5t76.3φ4,991147
F1.5t89.1φ4,996331
F1.5t25φ6,996568
F2.0t42.7φ4,991878
F2.0t21.7φ4,996021
F2.0t19φ4,996046
